Departamento,Gasto_Total
AMAZONAS,1134645770.7699997
ANCASH,2320847433.1200004
APURIMAC,1543842023.23
AREQUIPA,3105098967.87
AYACUCHO,2018853574.1500003
CAJAMARCA,3076357029.000001
CUSCO,4297952546.63
HUANCAVELICA,1431432491.7899997
HUANUCO,1846865713.3200002
ICA,1531467306.6
JUNIN,2611007828.1499996
LA LIBERTAD,3533566955.560001
LAMBAYEQUE,2001741804.1699998
LIMA,86908135572.9
LORETO,2141735284.14
MADRE DE DIOS,416245928.24
MOQUEGUA,887495627.4900001
PASCO,945668646.2099999
PIURA,3115060487.0499997
PROVINCIA CONSTITUCIONAL DEL CALLAO,4212836269.82
PUNO,2722174916.03
SAN MARTIN,2025761539.36
TACNA,954624983.0400001
TUMBES,653534249.2200001
UCAYALI,1194589577.71
 ,0.0
